name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000025,2.13,32.21,262.98,228.87,2.639,2.557,0.9465161588855605,0.243408203125,0.227142333984375,14.33892822265625,0.9989477973688852,1642440
sample_7000026,64.17,52.5,37.67,233.54,1.807,2.67,0.1973951648267231,451.1686096191406,1.9761962890625,824.918701171875,0.875077289358052,1249676
sample_7000027,73.52,10.98,319.13,114.27,1.531,1.596,0.017009566486617146,850.1771850585938,8.481246948242188,1614.448974609375,0.49369269634247986,537815
sample_7000028,33.25,18.57,261.82,81.7,2.049,1.961,0.9547629429377053,0.29437255859375,0.2773551940917969,4.1820068359375,0.9981908317096277,1376040
sample_7000029,48.81,16.18,23.95,343.66,1.716,2.198,0.6987186816417661,1.37567138671875,0.8824462890625,1153.806884765625,0.996049711190274,1591798
sample_7000030,19.26,68.37,285.46,44.41,1.555,2.347,0.004887335503683714,443.7579040527344,8.7554931640625,805.328125,0.9801355571833936,1853157
sample_7000031,12.78,71.3,166.39,202.83,1.518,2.675,0.10818716565627019,104.24310302734375,7.16552734375,325.96417236328125,0.9979614167428679,2064866
sample_7000032,63.47,1.1,151.68,203.82,2.159,2.233,0.08182280797469314,709.198486328125,5.24859619140625,1563.6104736328125,0.9938387023830654,817486
sample_7000033,41.39,68.84,104.62,233.85,2.284,2.082,0.0003126325488876863,787.8779907226562,10.612060546875,1437.0618896484375,0.9717121076727111,1093936
sample_7000034,73.03,54.84,142.35,260.04,2.561,2.495,0.00927434221059543,981.2966918945312,8.49420166015625,1588.96044921875,0.960872289795999,680803
sample_7000035,56.75,19.47,176.83,192.92,2.93,2.524,0.8508581817577137,2.1869049072265625,1.6004638671875,138.93983459472656,0.9977946371659636,721642
sample_7000036,51.02,66.81,187.24,351.55,1.609,1.704,0.3738975683903305,95.9337158203125,1.36761474609375,420.19525146484375,0.8417040971981379,1194065
sample_7000037,44.7,57.13,145.9,164.05,2.411,1.957,0.9481842996350941,0.3377685546875,0.3167724609375,4.953174591064453,0.9935035778237526,1285537
sample_7000038,2.27,32.8,93.67,161.4,2.571,2.555,0.941964237369915,0.302001953125,0.28173828125,27.0189208984375,0.9986829883187313,1662182
sample_7000039,27.45,70.03,274.44,60.33,2.863,2.011,0.009217892773912158,679.1766357421875,8.193008422851562,1192.87744140625,0.9661190222739963,962042
sample_7000040,2.72,14.54,73.06,67.11,2.303,1.741,0.9684331483597709,0.27734375,0.2669677734375,1.1124267578125,0.9989196060409306,947703
sample_7000041,26.81,8.94,358.78,277.64,2.757,2.442,0.9624016908577807,0.299072265625,0.28631591796875,1.5316314697265625,0.998682454587951,1177154
sample_7000042,43.66,32.21,287.49,28.09,2.309,2.503,0.7726238404879325,1.2545166015625,0.8406982421875,1027.668701171875,0.9980396670823665,1413310
sample_7000043,6.7,25.68,49.4,18.91,1.595,2.06,0.9437759506581015,0.22528076171875,0.21075439453125,20.656280517578125,0.9998927044849525,2068830
sample_7000044,54.66,61.78,133.44,332.6,1.688,2.839,0.32662768593365465,229.3394775390625,0.9837646484375,529.9472045898438,0.9145811512622012,1553417
sample_7000045,64.2,61.25,116.17,271.93,1.528,1.547,0.06972688518571399,694.204345703125,5.50146484375,1615.75830078125,0.804530038018843,1078594
sample_7000046,61.7,5.57,65.4,62.25,2.259,2.301,0.046680685342621125,432.0115051269531,6.78560733795166,1347.598388671875,0.9940992537695055,797032
sample_7000047,74.89,74.48,215.28,282.29,1.697,1.505,0.01785023890287048,779.913818359375,7.110595703125,1519.1885986328125,0.8657562565259861,411255
sample_7000048,57.78,31.57,325.38,200.86,2.856,2.435,0.08949721057555701,428.3880310058594,5.09564208984375,1604.41064453125,0.9893191424689499,865770
sample_7000049,23.05,72.77,102.15,295.25,1.736,2.343,0.03810265206889737,247.23858642578125,8.182861328125,806.1204833984375,0.7517113189744334,1325682
sample_7000050,49.94,43.73,300.17,95.64,1.894,1.99,0.5007796449056207,13.158203125,0.90777587890625,1488.5205078125,0.9892694590568963,1453867
sample_7000051,22.11,34.82,186.09,254.42,2.067,1.942,0.9378368337255673,0.437744140625,0.40948486328125,286.0212707519531,0.9992055365391429,1536923
sample_7000052,10.01,0.59,169.89,135.45,2.659,1.857,0.963352927803579,0.40350341796875,0.38543701171875,1.9560546875,0.9989242204815962,769775
sample_7000053,25.06,52.47,12.85,106.92,1.566,1.645,0.4151695770952963,218.15957641601562,1.07464599609375,1213.9508056640625,0.9941582257142438,1695512
sample_7000054,40.84,36.05,344.56,156.74,1.923,1.874,0.7458345694017621,0.8182373046875,0.4990234375,1212.9810791015625,0.9905404489774084,1388812
sample_7000055,55.14,61.52,67.6,277.11,1.634,1.809,0.07336294301030763,411.21832275390625,5.44451904296875,1205.7918701171875,0.9162030090207747,1398867
sample_7000056,22.95,8.65,336.29,37.12,2.064,2.671,0.9508300344333692,0.2125244140625,0.199951171875,3.875946044921875,0.9996704702615762,1987026
sample_7000057,65.51,40.91,31.43,114.07,1.819,1.74,0.04672179444641488,461.73870849609375,6.4169921875,1505.5576171875,0.9952969846041724,699224
sample_7000058,14.03,41.41,352.32,295.46,2.462,2.466,0.9109527675259971,0.3529052734375,0.311187744140625,323.53973388671875,0.9988217718393817,1759044
sample_7000059,56.64,18.35,121.83,144.99,2.394,2.074,0.14767216364318636,408.90728759765625,4.3594970703125,1524.5849609375,0.9945642419425142,698202
sample_7000060,1.33,45.4,184.13,110.22,2.561,1.982,0.8406926059064829,0.731353759765625,0.5750732421875,1150.6959228515625,0.9978170435679429,1269351
sample_7000061,1.65,45.39,269.0,232.02,1.958,1.697,0.735175023599618,0.9609375,0.5863418579101562,1417.400146484375,0.9983019217561366,1449176
sample_7000062,62.03,29.6,231.3,4.55,1.891,1.644,0.04971230633215937,260.7396240234375,7.32373046875,971.2762451171875,0.9889954809150756,758967
sample_7000063,62.46,39.3,81.73,233.81,1.895,2.045,0.4111709679970022,108.69500732421875,1.18902587890625,994.3294677734375,0.8200103742043154,1163516
sample_7000064,41.53,17.9,104.6,172.58,2.757,2.713,0.8774821721996714,0.74664306640625,0.65045166015625,417.59429931640625,0.9980566059429213,1250014
