name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000026,64.17,52.5,37.67,233.54,1.807,2.67,0.2540832020268316,250.6146240234375,1.99786376953125,705.1702270507812,0.8548874044892504,1220427
sample_7000027,73.52,10.98,319.13,114.27,1.531,1.596,0.020267045879225655,443.459716796875,8.0299072265625,987.8225708007812,0.9698226270819432,521783
sample_7000028,33.25,18.57,261.82,81.7,2.049,1.961,0.9358477680466376,0.5804443359375,0.5322265625,24.002464294433594,0.996369933122329,1373483
sample_7000029,48.81,16.18,23.95,343.66,1.716,2.198,0.790678447785873,1.5032958984375,1.0638427734375,1113.22705078125,0.9930838461625109,1586946
sample_7000030,19.26,68.37,285.46,44.41,1.555,2.347,0.003299816330977804,561.7288818359375,9.223876953125,1089.2503662109375,0.628876272513704,1188551
sample_7000031,12.78,71.3,166.39,202.83,1.518,2.675,0.0,980.958251953125,nan,1099.961181640625,0.1609013220434376,332770
sample_7000032,63.47,1.1,151.68,203.82,2.159,2.233,0.05369026291490857,597.517822265625,5.6781005859375,1363.016845703125,0.9914292070740043,815511
sample_7000033,41.39,68.84,104.62,233.85,2.284,2.082,0.030380225186164917,387.05908203125,7.87847900390625,1096.8997802734375,0.5265540457110675,592754
sample_7000034,73.03,54.84,142.35,260.04,2.561,2.495,0.02145710858111391,449.8679504394531,7.97723388671875,909.8056030273438,0.8976362727968137,636013
sample_7000035,56.75,19.47,176.83,192.92,2.93,2.524,0.48540788574816646,17.93194580078125,3.802764892578125,1278.746337890625,0.5363846665459076,387915
sample_7000036,51.02,66.81,187.24,351.55,1.609,1.704,0.4296148349840777,36.42724609375,1.69329833984375,524.0097045898438,0.5421872003699902,769047
sample_7000037,44.7,57.13,145.9,164.05,2.411,1.957,0.9292105175395551,0.779296875,0.7098388671875,27.689285278320312,0.9736596332913784,1259382
sample_7000038,2.27,32.8,93.67,161.4,2.571,2.555,0.9413545002179828,0.568145751953125,0.528564453125,17.734893798828125,0.9966659434786621,1662975
sample_7000039,27.45,70.03,274.44,60.33,2.863,2.011,0.020027148787157445,413.0894470214844,7.68341064453125,1030.75390625,0.5615613293294097,559141
sample_7000040,2.72,14.54,73.06,67.11,2.303,1.741,0.9733155993716346,0.5191650390625,0.5028457641601562,2.3183441162109375,0.9978379438223804,946583
sample_7000041,26.81,8.94,358.78,277.64,2.757,2.442,0.9747120610754539,0.47216796875,0.4578857421875,3.066225051879883,0.9976726624809096,1175857
sample_7000042,43.66,32.21,287.49,28.09,2.309,2.503,0.6973601736290257,2.67950439453125,1.457763671875,1346.9945068359375,0.9938517194349938,1407138
sample_7000043,6.7,25.68,49.4,18.91,1.595,2.06,0.9223475839665873,0.759033203125,0.698974609375,222.37945556640625,0.9997945971809067,2068680
sample_7000044,54.66,61.78,133.44,332.6,1.688,2.839,0.2832590602732265,290.8963928222656,1.3265380859375,611.515380859375,0.8303680947274636,1410112
sample_7000045,64.2,61.25,116.17,271.93,1.528,1.547,0.03224814164425801,687.8057861328125,7.61199951171875,1324.118896484375,0.8074708035376632,1082543
sample_7000046,61.7,5.57,65.4,62.25,2.259,2.301,0.06575683321430464,352.48602294921875,6.74542236328125,1192.1630859375,0.9884865364443342,792526
sample_7000047,74.89,74.48,215.28,282.29,1.697,1.505,0.017221451325437818,542.6867065429688,7.735443115234375,1012.7092895507812,0.6720790361729853,319253
sample_7000048,57.78,31.57,325.38,200.86,2.856,2.435,0.12337960790541988,279.5050048828125,4.8502197265625,922.1452026367188,0.9497367194142007,831126
sample_7000049,23.05,72.77,102.15,295.25,1.736,2.343,0.04435288689584834,212.94076538085938,7.383453369140625,697.1939086914062,0.7005022663792253,1235410
sample_7000050,49.94,43.73,300.17,95.64,1.894,1.99,0.4670680746652375,23.87841796875,1.57672119140625,1124.6129150390625,0.9751920670146977,1432956
sample_7000051,22.11,34.82,186.09,254.42,2.067,1.942,0.9287459713206249,0.6025390625,0.55078125,376.4939270019531,0.9981716276416598,1534622
sample_7000052,10.01,0.59,169.89,135.45,2.659,1.857,0.9652240318579143,0.76025390625,0.728271484375,5.448814392089844,0.9976507937332002,768663
sample_7000053,25.06,52.47,12.85,106.92,1.566,1.645,0.4691050646477072,22.75390625,1.7562255859375,1217.8265380859375,0.9733774911325737,1659997
sample_7000054,40.84,36.05,344.56,156.74,1.923,1.874,0.711482079645699,2.281402587890625,1.38671875,931.217529296875,0.9900700438835165,1388198
sample_7000055,55.14,61.52,67.6,277.11,1.634,1.809,0.06553808131592748,382.0868835449219,5.7952880859375,998.7041625976562,0.8345900526537876,1273748
sample_7000056,22.95,8.65,336.29,37.12,2.064,2.671,0.9445639039535473,0.589813232421875,0.5545654296875,12.85748291015625,0.9990026734590878,1985331
sample_7000057,65.51,40.91,31.43,114.07,1.819,1.74,0.01047092959319195,433.3514404296875,7.9566650390625,1003.7088012695312,0.8413772585505703,591065
sample_7000058,14.03,41.41,352.32,295.46,2.462,2.466,0.8808561838156375,0.775665283203125,0.6629638671875,1344.22314453125,0.997072952387336,1755324
sample_7000059,56.64,18.35,121.83,144.99,2.394,2.074,0.11702831417942719,408.4444885253906,5.26190185546875,1346.91748046875,0.9948305358778474,698378
sample_7000060,1.33,45.4,184.13,110.22,2.561,1.982,0.8467046296787013,1.28668212890625,1.025390625,516.3143310546875,0.9941900014234024,1264213
sample_7000061,1.65,45.39,269.0,232.02,1.958,1.697,0.749086885952941,1.60833740234375,1.0357666015625,1248.888916015625,0.9922274472618617,1439853
sample_7000062,62.03,29.6,231.3,4.55,1.891,1.644,0.01795210452553363,647.27099609375,7.22003173828125,1165.475830078125,0.9363229552716488,718523
sample_7000063,62.46,39.3,81.73,233.81,1.895,2.045,0.4275940128476061,51.284423828125,1.7916259765625,980.1112670898438,0.9822427048000028,1143248
sample_7000064,41.53,17.9,104.6,172.58,2.757,2.713,0.9574261510423968,0.6715087890625,0.6358642578125,6.421287536621094,0.9969436617918591,1248325
sample_7000065,29.85,33.83,211.17,194.89,2.779,2.076,0.9772453683624831,0.565185546875,0.550048828125,2.961071014404297,0.9965623277078917,945346
sample_7000066,12.97,58.46,27.71,6.53,2.832,2.081,0.6392567844245236,2.6881103515625,1.27734375,829.64111328125,0.9892569218403062,1243031
sample_7000067,28.6,29.69,186.68,23.25,2.277,2.353,0.8228883557402575,0.7629241943359375,0.5731201171875,1300.3355712890625,0.9942811067861623,1543868
sample_7000068,37.49,64.55,351.44,76.68,2.781,2.397,0.038240350505808623,376.57177734375,7.48992919921875,968.219482421875,0.4817001290083353,623556
sample_7000069,60.9,72.18,181.58,34.69,2.092,2.213,0.04293196810081717,331.64093017578125,4.734130859375,864.6555786132812,0.42882341864767576,507850
sample_7000070,3.41,17.39,181.66,72.7,2.042,2.182,0.9419480427321756,0.4918975830078125,0.460296630859375,20.998977661132812,0.9984535902631473,1860144
sample_7000071,69.9,2.93,152.95,125.19,1.67,2.746,0.04371930936163472,639.7900390625,6.984130859375,1232.55712890625,0.00942315457003592,12626
sample_7000072,68.87,34.57,62.63,306.36,2.414,2.158,0.01043746540023761,404.81591796875,8.855682373046875,948.592529296875,0.9669148603459475,482301
sample_7000073,11.14,24.34,299.84,5.9,2.494,2.853,0.9573575393796582,0.4866943359375,0.463714599609375,3.43194580078125,0.9984788457505926,1966561
sample_7000074,39.49,50.25,68.28,78.29,2.514,2.215,0.9577021035751344,0.4937744140625,0.46856689453125,5.224853515625,0.9980397497066349,1484140
sample_7000075,39.98,4.29,154.4,90.34,2.234,1.89,0.9096601351315148,1.006103515625,0.880859375,30.515846252441406,0.9971394743984562,933165
sample_7000076,51.86,48.24,207.61,209.81,2.956,1.806,0.5913604653805077,3.54541015625,1.19140625,1339.38037109375,0.9952680098327972,572091
sample_7000077,46.32,28.14,4.7,196.63,2.377,1.932,0.7017864723392566,1.41455078125,0.75048828125,992.8135986328125,0.9913425825941693,1161339
sample_7000078,69.74,28.38,261.47,103.75,2.296,1.747,0.014455147544580571,672.9408569335938,7.868133544921875,1579.61474609375,0.9894680951481971,419297
sample_7000079,44.61,23.4,343.01,20.43,2.871,1.77,0.2583376226152122,215.35882568359375,6.000038146972656,1488.5216064453125,0.9949148613335581,472107
sample_7000080,4.59,63.09,225.6,287.63,2.726,2.188,0.06834694802174107,457.2603759765625,5.5645751953125,1219.555908203125,0.9276333822018377,1319898
