name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.9768141179379664,0.60528564453125,0.587646484375,3.682861328125,0.9979119920871087,954417
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.04570325984731835,159.874755859375,8.089202880859375,681.6246337890625,0.8080505081160319,987807
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.10990100585612067,135.57080078125,7.074005126953125,441.06951904296875,0.9999792631172839,2073557
sample_7000016,2.88,7.34,233.49,209.41,2.849,1.665,0.833172024949837,3.198944091796875,2.472900390625,35.661354064941406,0.9979685625541385,550705
sample_7000017,66.9,21.38,96.19,56.06,1.696,2.197,0.40931661141671344,29.523590087890625,3.76629638671875,1154.2064208984375,0.9964520800157239,993666
sample_7000018,19.01,5.72,121.04,241.64,1.538,1.832,0.9811603409435902,0.3907470703125,0.382171630859375,1.8037109375,0.9994227396714002,1959855
sample_7000019,52.01,29.74,217.28,323.96,2.489,2.099,0.17358251326877547,227.91921997070312,4.54443359375,1339.6673583984375,0.9960023112162161,891190
sample_7000020,22.34,62.15,301.89,15.74,2.995,2.03,0.14552081555766952,240.5904541015625,5.88140869140625,743.7271728515625,0.9968225296836438,1060673
sample_7000021,43.09,11.51,177.38,94.14,2.157,2.645,0.8821276892440025,0.856414794921875,0.72503662109375,221.71856689453125,0.9993582228763594,1635032
sample_7000022,30.7,64.47,238.18,310.37,2.928,1.564,0.023189123680428105,461.864501953125,7.30914306640625,1016.1410522460938,0.9913951143340731,718699
sample_7000023,7.02,20.33,3.99,337.63,1.63,1.573,0.9844777144418287,0.36419677734375,0.35791015625,1.3712196350097656,0.998504650911068,1595899
sample_7000024,31.41,27.06,1.99,317.39,2.899,1.711,0.7278906383516247,6.5257568359375,4.148289203643799,192.5023193359375,0.9968243034299374,538324
sample_7000025,2.13,32.21,262.98,228.87,2.639,2.557,0.9774671388162361,0.4837646484375,0.4710693359375,2.6712646484375,0.9988752931902014,1642135
sample_7000026,64.17,52.5,37.67,233.54,1.807,2.67,0.2700362169118727,119.2908935546875,2.63134765625,475.87957763671875,0.9226981759597803,1396309
sample_7000027,73.52,10.98,319.13,114.27,1.531,1.596,0.026411339626903424,350.69586181640625,8.714410781860352,894.6541137695312,0.879417988636233,535679
sample_7000028,33.25,18.57,261.82,81.7,2.049,1.961,0.9718139678256116,0.564697265625,0.54443359375,4.876705169677734,0.9974496399982307,1375504
sample_7000029,48.81,16.18,23.95,343.66,1.716,2.198,0.8044009305203924,1.665771484375,1.18841552734375,194.69674682617188,0.9982792234996042,1596526
sample_7000030,19.26,68.37,285.46,44.41,1.555,2.347,0.061718806022581056,178.907470703125,8.57940673828125,510.3858642578125,0.6560197430319021,1241129
sample_7000031,12.78,71.3,166.39,202.83,1.518,2.675,0.07325149956675928,144.16729736328125,7.8089599609375,572.2675170898438,0.9078693722594704,1877709
sample_7000032,63.47,1.1,151.68,203.82,2.159,2.233,0.15883049118346462,224.47915649414062,5.400981426239014,1574.5897216796875,0.8070086912729233,820447
sample_7000033,41.39,68.84,104.62,233.85,2.284,2.082,0.027856769974722497,326.069580078125,7.32244873046875,801.6583251953125,0.7742916836933234,873504
sample_7000034,73.03,54.84,142.35,260.04,2.561,2.495,0.012257834160053145,642.2637939453125,7.8302001953125,1434.1380615234375,0.8126699374815034,702979
sample_7000035,56.75,19.47,176.83,192.92,2.93,2.524,0.7483451412238477,4.74566650390625,2.6981353759765625,133.67645263671875,0.9981270845686973,722116
sample_7000036,51.02,66.81,187.24,351.55,1.609,1.704,0.22211028119538906,207.173828125,1.419769287109375,499.68206787109375,0.9965920436488406,1417413
sample_7000037,44.7,57.13,145.9,164.05,2.411,1.957,0.9581346728504819,0.73773193359375,0.7010498046875,6.303001403808594,0.9981109810233139,1292406
sample_7000038,2.27,32.8,93.67,161.4,2.571,2.555,0.9632165421203824,0.465301513671875,0.44476318359375,3.9058837890625,0.9990271525976347,1662568
sample_7000039,27.45,70.03,274.44,60.33,2.863,2.011,0.033460843706458084,368.5936279296875,7.895751953125,754.3189086914062,0.8250821873872429,823201
sample_7000040,2.72,14.54,73.06,67.11,2.303,1.741,0.9839613985128935,0.5097084045410156,0.5001220703125,2.3609085083007812,0.9981324821775216,948150
sample_7000041,26.81,8.94,358.78,277.64,2.757,2.442,0.9815815712099414,0.47802734375,0.467529296875,2.600065231323242,0.9985506767042269,1177462
sample_7000042,43.66,32.21,287.49,28.09,2.309,2.503,0.7563190230936783,3.2039031982421875,2.0397796630859375,212.97927856445312,0.9975807265726866,1413114
sample_7000043,6.7,25.68,49.4,18.91,1.595,2.06,0.9773239232368154,0.4708251953125,0.45928955078125,2.599456787109375,0.9997999143594795,2068700
sample_7000044,54.66,61.78,133.44,332.6,1.688,2.839,0.2602418470030746,221.9591064453125,1.342132568359375,475.4111022949219,0.9992033955485531,1697106
sample_7000045,64.2,61.25,116.17,271.93,1.528,1.547,0.038030833995767885,611.6856079101562,6.5743408203125,1181.630859375,0.9593539073610222,1339755
sample_7000046,61.7,5.57,65.4,62.25,2.259,2.301,0.053562699026917,312.067626953125,6.913877487182617,893.5473022460938,0.9650912206187557,799829
sample_7000047,74.89,74.48,215.28,282.29,1.697,1.505,0.010660951037819498,740.2868041992188,7.889404296875,1805.879150390625,0.7432438509703532,429699
sample_7000048,57.78,31.57,325.38,200.86,2.856,2.435,0.1161569283364273,228.711669921875,5.55120849609375,822.7457275390625,0.946244694091623,870512
sample_7000049,23.05,72.77,102.15,295.25,1.736,2.343,0.038081679528403814,230.1751708984375,7.7767333984375,796.0553588867188,0.745822760541778,1322657
sample_7000050,49.94,43.73,300.17,95.64,1.894,1.99,0.5558440373158573,8.39166259765625,1.78515625,250.2449951171875,0.9985880422961588,1468223
sample_7000051,22.11,34.82,186.09,254.42,2.067,1.942,0.9785213006972344,0.559814453125,0.545928955078125,3.0133743286132812,0.9988532520121721,1536499
sample_7000052,10.01,0.59,169.89,135.45,2.659,1.857,0.9721503767989488,0.7817840576171875,0.75469970703125,4.4644775390625,0.9977419793630128,770172
sample_7000053,25.06,52.47,12.85,106.92,1.566,1.645,0.49429740563934305,15.829925537109375,2.15673828125,514.0828247070312,0.9979821496956829,1704312
sample_7000054,40.84,36.05,344.56,156.74,1.923,1.874,0.7649959349390384,1.169189453125,0.73095703125,216.20623779296875,0.9987417375285872,1400963
sample_7000055,55.14,61.52,67.6,277.11,1.634,1.809,0.04528692622948078,354.4912109375,6.65606689453125,1046.1051025390625,0.9776571165870046,1495001
sample_7000056,22.95,8.65,336.29,37.12,2.064,2.671,0.9743663582869824,0.45166015625,0.43865966796875,2.3578643798828125,0.9994731659305918,1986296
sample_7000057,65.51,40.91,31.43,114.07,1.819,1.74,0.04806390449137635,227.21685791015625,7.7919921875,718.053955078125,0.8486486682826306,700921
sample_7000058,14.03,41.41,352.32,295.46,2.462,2.466,0.9425393914851602,0.7933349609375,0.7364501953125,13.178646087646484,0.9983482449321668,1758248
sample_7000059,56.64,18.35,121.83,144.99,2.394,2.074,0.1932968612400036,167.92100524902344,5.3817138671875,1133.9443359375,0.9959940009524554,700627
sample_7000060,1.33,45.4,184.13,110.22,2.561,1.982,0.9085551134694867,1.253662109375,1.1005859375,26.895204544067383,0.99814986996431,1269989
sample_7000061,1.65,45.39,269.0,232.02,1.958,1.697,0.8099286787563694,1.76605224609375,1.275726318359375,155.75662231445312,0.9977930810405974,1449498
sample_7000062,62.03,29.6,231.3,4.55,1.891,1.644,0.030466392157016384,437.5557861328125,7.207275390625,1444.7578125,0.9420658227723515,765729
sample_7000063,62.46,39.3,81.73,233.81,1.895,2.045,0.5001519724124867,14.9244384765625,1.74896240234375,500.581298828125,0.9953557293621776,1161395
sample_7000064,41.53,17.9,104.6,172.58,2.757,2.713,0.967202008050118,0.750244140625,0.71942138671875,4.795026779174805,0.9978600773117909,1250168
sample_7000065,29.85,33.83,211.17,194.89,2.779,2.076,0.9814586912253062,0.52593994140625,0.5146484375,2.37152099609375,0.9978942649500875,948261
sample_7000066,12.97,58.46,27.71,6.53,2.832,2.081,0.6954933979715506,2.775604248046875,1.578094482421875,928.2523193359375,0.9973756620488922,1254160
sample_7000067,28.6,29.69,186.68,23.25,2.277,2.353,0.8864479773201498,0.718017578125,0.6077880859375,187.67108154296875,0.9988802837215531,1551333
sample_7000068,37.49,64.55,351.44,76.68,2.781,2.397,0.04360913892166915,325.2669677734375,7.771728515625,1208.005126953125,0.994719563401802,1292275
